Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Ancharwadi B.O-ABPM-UR",30042621,"ABPM",,"Ancharwadi B.O","Buldana Division"
2,"Changephal B.O-ABPM-UR",30042572,"ABPM",,"Changephal B.O","Buldana Division"
3,"Deulgaon Kol B.O-BPM-UR",30042511,"BPM",,"Deulgaon Kol B.O","Buldana Division"
4,"Deulgaon Mahi S.O-Daksevak-UR",30042527,"Daksevak",,"Deulgaon Mahi S.O","Buldana Division"
5,"Deulgaon Mali B.O-BPM-UR",30042563,"BPM",,"Deulgaon Mali B.O","Buldana Division"
6,"Dhamangaon B.O-BPM-UR",30042509,"BPM",,"Dhamangaon B.O","Buldana Division"
7,"Dharangaon S.O-Daksevak-UR",30246849,"Daksevak",,"Dharangaon S.O","Buldana Division"
8,"Digras BK B.O-ABPM-OBC",30042519,"ABPM",,"Digras BK B.O","Buldana Division"
9,"Gandhari B.O-ABPM-UR",30042525,"ABPM",,"Gandhari B.O","Buldana Division"
10,"Gangalgaon B.O-ABPM-OBC",30042585,"ABPM",,"Gangalgaon B.O","Buldana Division"
11,"Hirdao B.O-ABPM-UR",30042603,"ABPM",,"Hirdao B.O","Buldana Division"
12,"Jamod B.O-ABPM-UR",30042772,"ABPM",,"Jamod B.O","Buldana Division"
13,"Januna B.O-ABPM-UR",30744436,"ABPM",,"Januna B.O","Buldana Division"
14,"Jigaon B.O-ABPM-UR",30042629,"ABPM",,"Jigaon B.O","Buldana Division"
15,"Khamkhed B.O-BPM-UR",30042681,"BPM",,"Khamkhed B.O","Buldana Division"
16,"LAKHANWADA-BPM-UR",30043999,"BPM",,"LAKHANWADA","Buldana Division"
17,"Masrul B.O-BPM-OBC",30042583,"BPM",,"Masrul B.O","Buldana Division"
18,"Matergaon S.O-Daksevak-UR",30042726,"Daksevak",,"Matergaon S.O","Buldana Division"
19,"Mehkar S.O-Daksevak-UR",30042370,"Daksevak",,"Mehkar S.O","Buldana Division"
20,"Mehkar S.O-Daksevak-UR",30042701,"Daksevak",,"Mehkar S.O","Buldana Division"
21,"Nagzari B.O-ABPM-UR",30042662,"ABPM",,"Nagzari B.O","Buldana Division"
22,"Naigaon B.O-ABPM-UR",30656653,"ABPM",,"Naigaon B.O","Buldana Division"
23,"Naigaon Duttapur B.O-ABPM-OBC",30042598,"ABPM",,"Naigaon Duttapur B.O","Buldana Division"
24,"Narvel B.O-BPM-UR",30042496,"BPM",,"Narvel B.O","Buldana Division"
25,"Nimgaon B.O-ABPM-UR",30042411,"ABPM",,"Nimgaon B.O","Buldana Division"
26,"Pangra Dole B.O-ABPM-OBC",30042611,"ABPM",,"Pangra Dole B.O","Buldana Division"
27,"Pimpalgaon Kale S.O-Daksevak-OBC",30042654,"Daksevak",,"Pimpalgaon Kale S.O","Buldana Division"
28,"Pimpalgaon Kale S.O-Daksevak-OBC",30673553,"Daksevak",,"Pimpalgaon Kale S.O","Buldana Division"
29,"Pimpalgaon Nath B.O-BPM-OBC",30042828,"BPM",,"Pimpalgaon Nath B.O","Buldana Division"
30,"Pimpalgaon Raja S.O-Daksevak-OBC",30247041,"Daksevak",,"Pimpalgaon Raja S.O","Buldana Division"
31,"PIMPRI GAWALI-BPM-OBC",30044006,"BPM",,"PIMPRI GAWALI","Buldana Division"
32,"Raipur BO-ABPM-OBC",30749541,"ABPM",,"Raipur BO","Buldana Division"
33,"Saokhed Tejan B.O-ABPM-OBC",30042693,"ABPM",,"Saokhed Tejan B.O","Buldana Division"
34,"Saokhed Tejan B.O-ABPM-OBC",30235520,"ABPM",,"Saokhed Tejan B.O","Buldana Division"
35,"Talni B.O-BPM-UR",30042754,"BPM",,"Talni B.O","Buldana Division"